title,company,location,description,date
Network Engineer,Teamlogic IT,"Cherry Hill, NJ 08002","[    We are growing incredibly fast and looking for professionals with MSP experience.    Visit ManagedITServices.com for more information about our company.    Systems and Network Engineers   We are looking for exceptional engineers who know how to work as part of a Team.  Candidates must be versed in basic Server Configuration Methods including Stand alone and Virtualized Environments, Support of WAN and LAN networks, Backups, Email Systems, Disaster Recovery, Business Continuity Planning, Desktop Configuration, Support and Troubleshooting.  The successful candidate will be able to look at simple and complex network environments to troubleshoot any number of problems including, but not limited to, firewall issues, Windows Active Directory complexities, domain namespace blacklisting, printer issues, email delivery problems, backup issues, virtualized system errors, various compliance issues and other problems. In addition, there is a requirement to analyze existing and future client needs and review technical alternatives with these clients to determine the impact on their environment while maintaining a client's security and if applicable compliance needs.  The successful candidate will also demonstrate excellent customer service skills as well as technical excellence in all communications, whether client facing or internally.  TeamLogic IT is the nationwide network that companies entrust with their technology management. We manage IT systems and provide state-of-the-art security and world-class personal service. Excellent Verbal and Writing Skills are a must.  In just over a decade, TeamLogic IT has grown into the nationwide network businesses rely on for Managed IT Services. Our success is driven through one core mission - to leverage technology to to the advantage of our clients. Thousands of businesses across North America are taking advantage of our ability to deliver highly available, secure and flexible IT systems, filling the void in the market for a trusted technology adviser.  Job Type: Full-time  Experience:   MSP: 3 years (Required)   Education:   Bachelor's (Preferred)   License:   ongoing training (Required)    ]",12-27-2019
Senior Network Engineer,Halski Systems,"Gainesville, GA 30504","[    Job Description:    We're looking for friendly, customer-oriented Engineer to provide technical assistance to our ever-growing client base. You'll be the firms front line and will solve technical problems and provide support for all assigned areas. The goal is to make sure that customer service is maintained to the standards set forth by the firm.   Roles and Responsibilities:    Candidate will provide network design, engineering and administrative support of both physical and virtual networking devices. All networks and associated equipment must meet specified Information Technology security requirements and guidelines. Candidate will support a highly virtualized cloud environment and provide guidance and expertise to our clients as needed.   Basic Qualifications:    5+ years of experience  Current Cisco CCNA certification is required  Experience with enterprise level network design, engineering, and administration  Experience with common networking devices such as firewalls, switches, and fabric interconnects. Commonly used brands include Cisco, SonicWall, and Palo Alto.  Experience interfacing with customer POCs to evaluate networking needs or requirements and explain technical terms to non-technical users or stakeholders.   Preferred Qualifications:    Experience with Cisco ASA, Cisco Catalyst, Meraki, Palo Alto, DELL/SonicWall Enterprise firewalls  Experience with Cisco AP's and Wireless Controllers  Experience with Nexus Switches  Experience with SolarWinds Network Performance Monitor and Network Configuration Manager   Why work for Halski Systems?    We're a rapidly growing IT company that provides outsourced IT services to hundreds of clients ranging from Legal, Medical, Manufacturing, ETC. We offer a very competitive salary, quarterly bonuses, sign-on bonus, 401K Plan with a 4% match, we pay 100% of your insurance, flexible work hours, paid training, the latest and greatest technology to play with. We also believe in promoting from within and investing in our employees. Come and join our growing staff of more than 60 to begin the best career you've ever had.  Job Type: Full-time  Salary: $75,000.00 to $105,000.00 /year  Experience:   Network Engineer: 5 years (Required)  Switching: 5 years (Required)    ]",12-27-2019
Network Engineer,Complete Business Systems,"Arvada, CO 80002","[    Network Engineer:   Medium-sized Technology Company seeking a highly motivated individual with experience in supporting small-to-medium sized business environments. This position requires Microsoft certified/equivalent knowledge. The individual needs to be able to support, implement, design, configure, and install any hardware including but not limited to servers, workstations, firewalls, wireless routers, backup solutions, virtual environments and software solutions. Individual should be able to support hosted exchange as well as local exchange servers, small business server implementation, migration and support.   Network Engineer Job Purpose:   To establishes and maintain network performance by building network configurations and connections and troubleshooting network problems.   Network Engineer Job Duties:     Establishes networking environment by designing system configuration(s); directing system installation(s); defining, documenting, and enforcing system standards.  Maximizes network performance by monitoring performance; troubleshooting network problems and outages; scheduling upgrades; collaborating with network architects on network optimization.  Secures network system by establishing and enforcing policies; defining and monitoring access.  Updates job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.  Accomplishes information systems and organization mission by completing related results as needed.  Reporting network operational status by gathering and prioritizing information, as well as, managing projects.    Skills/Qualifications:  Project Management, Problem Solving, LAN Knowledge, Proxy Servers, Networking Knowledge, Network Design and Implementation, Network Troubleshooting, Network Hardware Configuration, Network Performance Tuning, People Management  Prefer Microsoft Certified MCITP or MCSE equivalent experience.  Job Type: Full-time  Salary: $42,000.00 to $80,000.00 /year  Experience:   Network Engineering: 2 years (Preferred)  relevant: 2 years (Preferred)   Education:   High school or equivalent (Preferred)   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off    ]",12-27-2019
Senior IT Network Engineer,"GO Concepts, Inc.","Lebanon, OH 45036","[    Basic Description:     Are you looking for a long-term career, not just a job?  Do you consider yourself a problem solver by nature?  Are you someone that takes initiative, is proactive, and is a self-starter?  Do those that know you best describe you as highly disciplined and focused?  Do you have a proven ability to manage multiple projects and competing priorities?  Are you known for your strong customer service mentality and going above and beyond to satisfy the customer?  Opportunity for advancement  Opportunity to earn job related certifications  Full-time, Salary Position  Full benefits, including health/dental/vision/life/disability insurance, paid training, vacation, sick leave  Retirement Plan - self-directed with employer matching    Responsibilities:     Design, implement, and maintain multi-vender SMB and corporate networks including:  Layer 2 access technologies including VLANs, spanning tree, trucking, port security, etc.  Familiar with Cisco, Unifi, Sonicwall  Experience with site-to-site VPNs  Corporate WiFi networks including technologies like WPA2 Enterprise/802.1x, mobile device wifi, guest access  Voice over IP – on-prem and cloud based    Monitoring including:  SNMP  Experience with rancid or other configuration management software are a plus  Experience with Cacti or other SNMP based performance monitoring software is a plus    DOCSIS Cable network experience including:  CMTS configuration and troubleshooting  Modem testing and troubleshooting  Packetcable  Maintain DOCSIS provisioning systems including DHCP and tftp  Build and update DOCSIS configuration files    Experience with Nagios or other monitoring and alerting solutions is a plus.  Take ownership of issues escalated from Level 1 and Level 2 support.  Resolve high impact issues and perform root cause analysis  Evaluate and improve the security posture of multiple organizations  Improve team efficiency through automation, monitoring, and continual improvements  Serve as a consultant for recommending solutions to customers.    Physical Requirements:   Ability to stoop, kneel, crouch, or crawl; ability to lift at least 25 pounds   Work Schedule:   Mon-Fri 8am-5pm  Job Type: Full-time  Salary: $60,000.00 to $80,000.00 /year  Education:   Bachelor's (Preferred)   Location:   Lebanon, OH 45036 (Preferred)   Additional Compensation:   Bonuses   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Signing bonus  Paid time off  Professional development assistance    ]",12-27-2019
Project Manager,"RGS Products, Inc.","Concord, NC","[   RGS Products, Inc. is an architectural railing and metals manufacturing company in search of Project Managers to join our growing team.  The ideal candidate will possess these skills:   Ability to work independently  Fluent in reading blueprints  Communication skills  Detail oriented  Self-motivated  Problem solver   RGS offers competitive wages based on experience, benefits, a 401K plan and is an equal opportunity employer.  Job Type: Full-time  Required travel:   25% (Preferred)   Additional Compensation:   Bonuses   Work Location:   One location  Multiple locations   Benefits:   Health insurance  Retirement plan  Paid time off   Schedule::   Monday to Friday  Overtime    ]",12-27-2019
Project Manager (Quality/Reg Affairs),Peter Brasseler Holdings,"Savannah, GA 31419","[      Quality Logistics Project Manager needed for 9 to 12 months in beautiful Savannah, Georgia.   Monitoring and coordinating the materials to be used with the project management cycle of correction actions (such as re-labeling process)   The QA Project Manager will be supporting an Upgrade project.    Logistics   Data Management   Supply Chain Management, Inventory Control, Process   Validation, Strong 3rd Party Follow up    Additionally, the Project Manager will prepare reports for all project statistics on weekly basis and analyze all project metric data.   Qualifications • 5+ years in project management role working on medium to large projects    Experience project managing Quality projects that required significant regression and new feature testing     3+ years’ experience in Quality     Adept at streamlining operations and processes to ensure compliance   Experienced at effectively utilizing company resources - equipment, labor and inventory   Serve as assistant to Quality Systems Manager and Regulatory Affairs Manger   Follow inventory management practices and procedures   Review incoming inspection plan and process, manage parts inventory and labeling program   Disposition of existing products   Work closely with 3rd party vendors for product specifications, labels and delivery updates. Collaborate with suppliers for on time deliveries and for supplier quality improvements   Develop and follow quality assurance documentation from concept to final delivery   Manage Audit regulatory affairs project relating to meeting requirements   (see attachment for full job description)       ]",12-27-2019
IT Associate Project Manager,SiteREADY,"Atlanta, GA","[   Location: Atlanta, GA  SiteREADY is an award-winning professional service firm that focuses on the design and implementation for workplace technologies across North American office portfolios. Through our Consulting, Design, and Project Management services, we bridge the gap between Real Estate &amp; IT departments to deliver product-agnostic solutions as the “Single Point of Contact” for all workplace scopes. We specialize in helping clients think strategically about technology utilization and implementation within their workplace. Our value is our employees and passionate about serving our clients together.  As an  Associate Project Manager  with SiteREADY, you will have the opportunity to work closely with fellow SiteREADY employees to understand our client’s needs and responsible for facilitating requirements for Clients and maintaining strong vendor relations and management of services.  Key Responsibilities:   Coordinate new office build outs and/or expansions involving IT infrastructure.  Create efficiencies by developing and updating resource and vendor documentation.  Refine support processes by identifying resources and vendors needed.  Positively collaborate with Architects, MEPs and contractors/vendors on project execution.  Strengthen support process by preparing RFP’s and providing SOW for contractors/vendors.  Establish and grow partnerships with offshore IT providers.  Manage day-to-day operational aspects of a project, constantly monitoring and reporting progress to project manager.  Manage vendor relations and quality of work.  Provide face to face, timely and efficient support to client.  Define service excellence by strengthening core processes by documenting all on site activities.  Facilitate strong communication as the technical liaison between clients and IT units.  Ensure project documents are complete, current, and are stored appropriately.   Qualifications and Ideal Candidate Profile:   Education/Certifications    College degree with an emphasis on IT desired  Prior experience dealing with IT elements such as servers, security, switches and cabling.    Skills    Excellent customer service and communication skills and ability to build rapport quickly  Ability to manage vendor relations and quality of work  Good understanding of the Information Technology field  Outstanding work ethic and professionalism  Ability to travel up to 100%   SiteREADY is proud to reward our team with:   Exceptional compensation and benefits package  Continuous learning and professional development opportunities  Cell phone allowance  19 PTO days + paid holidays; increasing PTO time with tenure  401k    *** Job descriptions will be reviewed and are subject to changes of business necessity. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.   SiteREADY is fully committed to EEO and to attracting, retaining, developing, and promoting the most qualified employees without regard to their race, gender, color, religion, sexual orientation, national origin, age, physical or mental disability, citizen status, veteran status, or any other characteristic prohibited by state or local law. We are dedicated to providing a work environment free from discrimination and harassment, and where employees are treated with respect and dignity.  Job Type: Full-time  Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Paid time off    ]",12-27-2019
Technical Project Manager,APT College,"Greenwich, CT","[   Our client, a brokerage firm headquartered in Greenwich CT, seeks a Technical Project Manager. The successful candidate will coordinate with managers and technical personnel during all project phases, from initial development through implementation.  Responsibilities:     Lead small/mid-size initiatives, and contribute to enterprise-wide strategic initiatives.  Coordinate various managers and technical personnel during all project phases, from initial development through implementation  Monitor project progress continuously and make detailed scheduled reports on measurable items, such as milestones and deliverables  Work with stakeholders within the organization to refine and improve knowledge and processes.    Required:     Bachelor’s degree in Computer Science or related field  4+ years of project management experience  Product knowledge across a broad array of financial products and Instruments  Proficiency with at least one programming language, such as Java or Python   Job Type: Full-time  Salary: $150,000.00 to $200,000.00 /year  Experience:   Financial: 2 years (Required)  Python or Java: 2 years (Required)  PM: 4 years (Required)   Education:   Bachelor's (Required)   Additional Compensation:   Bonuses   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off    ]",12-27-2019
(AWS) Senior Project Manager,CapGlobal Inc.,"Denver, CO 80203","[    Summary:    * OIT is looking for a project manager/stakeholder relationship manager to drive multiple initiatives for the CBMS and PEAK applications, with a heavy focus on communication, change management, and coordination with stakeholders. * * CBMS is hosted on Amazon Web Services with the user interface fully in Salesforce Lightning Experience. This position is a leadership role focused on optimizing our presence in the cloud. Additionally, this position will manage projects that have been initiated for future releases, including hardware and software improvements, multi-factor authentication for system users, and cost optimization. * * The project manager will work with stakeholders to develop requirements/user stories, plan work to achieve milestones and completion timelines, facilitate meetings or stand-ups, track risks and issues, and report status to stakeholders. The plan and the burndown rate for the backlog will need to align with management timelines for project completion. * * The initiatives will be impactful to system operation and managing this work requires a proven history of working with many stakeholder groups and implementing change management. Some local travel to counties for meetings may be necessary and will not be reimbursed separately. Experience with AWS is required. * *  Duties:     Facilitate meetings across several teams and serve as the manager over multiple initiatives across multiple vendors. Some local travel to metro counties or other stakeholder locations is required.    Maintain issue logs and document risk mitigation strategies    Utilize a strong understanding of software development methodologies when formulating work plans/sprints    Utilize a personal basic understanding of technical infrastructure in a cloud environment to drive questions/analysis to ensure completeness of sprints    Create status reports, meeting notes and presentations using Microsoft products or Google Docs.    Schedule meetings and conferences calls    Track the status of project tasks by communication with task owners    Maintain concurrent project plans    Author documents to summarize risks, issues, solution alternatives, status or other for delivery to customers and executives    Participate in release planning and command centers, as appropriate based on the initiative    Minimum Requirements:     Experience with hosting in Amazon Web Service    Minimum of 10 years of experience in a system development environment    Minimum of 5 years’ experience developing and managing technical projects, both waterfall and Agile    Minimum of 10 years’ experience delivering projects    Clear Communicator (written and verbal)    Expert knowledge of common business applications; such as, Google Docs, Microsoft Office (Word, Excel), Microsoft Project    Strong analytical and research skills using the internet and other tools    Strong verbal communication skills and ability to facilitate a planning session or meeting    Understanding of data governance, including the security requirements for PII and PHI.    Must be able to work independently and be proactive in reaching for information    Must be comfortable in an environment with rapid change, multiple vendors and multiple concurrent work streams and scrums    Desired Experience:     Understanding of a government environment, Colorado state or county experience preferred    Experience in a cloud environment, Salesforce or AWS environment preferred    Experience working in a government and specifically eligibility and enrollment environment, CBMS experience preferred    Experience in the application of commonly accepted concepts and practices specific to user training and organization change management    Available for occasional non-business hour work   *  Job Type: Contract  Salary: $70.00 to $80.00 /hour  Contract Length:   5 - 6 months   Contract Renewal:   Likely   Additional Compensation:   Other forms   Work Location:   One location   Benefits:   Dental insurance  Vision insurance  Retirement plan    ]",12-27-2019
"Project Manager, Serialization",Pharma RI International,"Raleigh, NC","[    Job Description:   This position will be required to create, maintain and monitor Global Serialization related projects under the direction of the Global Serialization Program lead. Primary projects will include Serialization Enterprise (IT) Connectivity projects. These projects will require coordination with Regional/Local teams, CMO/Site IT leads and Enterprise Team to meet deadlines set by Global Program Plan. Additional Regional/Local projects to include (but not limited to) onboarding and qualifying new government market systems, new government market requirements/upgrades and leading Serialization Enterprise IT solution upgrades. Long term, under Business as Usual/ Steady State (1-2 years out) project manager will manage projects initiated by Regional/Local teams per governmental requirements, Local/Regional enhancements and projects related to Tier 3 system issues. Essential Functions 1. Develop, lead and manage full life cycle project management activities for projects included within the Global Serialization Program. 2. Identify and mitigate risks associated with assigned projects by developing mitigation plans, following set escalation plans as necessary and proactively monitoring risks throughout the project. 3. Anticipate and proactively address simple or complex bottlenecks or issues. Recommend and implement enhancements to projects by soliciting input from project members and Global Program lead. 4. Manage standard documentation for project work including project plans, project organization, stakeholder outlines, project charters, project execution plans and RAAID Logs (Risk/Action/Assumptions/Issues/Decisions). 5. Develop and maintain project metrics and feedback measurements to ensure professional delivery of projects and proper communication to Global Program Lead and stakeholders.   Qualifications:     BA/BS, preferably in a business, IT or technical field  5+ years Project Management experience required. PMP Certification preferred  Experience in managing large, complex international projects in a multinational environments with multiple stakeholders.  Advanced user in project management tools (e.g. MS Project).  Must be both strategic and task-oriented/ issue resolution focused.  Able to support at the detailed level and prepared to support the team by taking on some actions.  Highly developed interpersonal skills are required to effectively communicate with all levels within the organization.  Able to build relationships with third parties (application providers and CMOs).  Excellent organizational skills and attention to detail.  Strong presentation and verbal/written communication skills required.  Ability to simultaneously manage and prioritize multiple requests required.    The role may require occasional limited domestic and international travel.   Job Type: Full-time  Experience:   project management: 5 years (Required)   Education:   Bachelor's (Required)   Location:   Raleigh, NC (Required)    ]",12-27-2019
Project Manager,Turabit.com,"Augusta, ME 04333","[    Job Summary   Description:      Description:      Experienced IT Project Manager needed to oversee life cycle of CCWIS project in conjunction with the lead CCWIS business PM.  Scope of work requires a PM with focus on IT in order to facilitate transition of information and, eventually, function from legacy application to new CCWIS application.   *  Must have experience working within state and/or federal projects using Agile methodology. Will need to show a strong track record of success in working with a large group of stakeholders to provide results .  Must have experience managing IT projects and be proficient with the use of project documentation and tasking tools (i.e. JIRA, MS Project, etc.).  Excellent written and oral communications skills are required. This position will be working directly with the lead CCWIS project manager and will be facilitating and/or participating in all areas of project planning of CCWIS implementation on behalf of OIT  Working with stakeholders to ensure common understanding of priorities, strategies, and timelines for all elements of the CCWIS implementation.  Facilitating regular and ad-hoc meetings/workshops to ensure that members of the project team can report status and be given up-to-date information and direction regarding project priorities, strategies, and timelines.  Ensuring all IT-level project documentation is complete and up-to-date  Ensuring all IT policies are acknowledged and adhered to for CCWIS implementation  Ensuring all issues and risks found during the project are immediately reported to the IT manager, lead CCWIS project manager, and stakeholders as needed.  Ensuring all requirements for reporting project status, action items, risks, and issues sufficiently meets the needs of project stakeholders.   Job Type: Contract  Salary: $160,000.00 /year  Experience:   management: 1 year (Preferred)   Education:   Bachelor's (Preferred)   Location:   Augusta, ME 04333 (Preferred)   License:   Project Management Professional (PMP) (Preferred)   Work authorization:   United States (Preferred)    ]",12-27-2019
Corporate Website Project Manager (Contract),Pharma RI International,"Woodcliff Lake, NJ","[    Job Description:   The Project Manager – Corporate Solutions is responsible for leading cross-functional project teams to drive design, development and launch of systems and solutions in support of Corporate Functions with a focus Digital Workplace/ Corporate Internet, and Collaborative technologies. The project manager will use standard and Agile project management methodologies and best practices to ensure projects are delivered on time and budget. As a Project Management expert focused on Corporate Solutions, the position will entail interacting with Senior Executives and Directors in Finance, Human Resources, Corporate Communications, IT and other functions, as necessary, as well as with related software and IT service suppliers to drive development and implementation of initiatives aligned with strategic objectives.  Primary responsibilities include, but are not limited to, coordinating RFP processes, defining/designing projects, and establishing project plans with milestones and deliverables in collaboration with stakeholders, as well as facilitating work sessions to resolve issues and elicit key decisions.   Knowledge / Skills Required:     College diploma or university degree in the field of computer science, information science, management information systems, or business administration or equivalent experience.  Minimum of 6 years related work experience    Knowledge &amp; Experience    Experience leading and managing project teams in the development of Corporate Web Sites, Corporate Intranet / Digital Workplace solutions, and MS SharePoint based collaborative solutions  Strong business analysis skill and experience, including requirements definition, process modeling, and operating model design.  Solid systems orientation with a thorough familiarity of emerging technologies such as cloud computing, mobility, social, IoT, and big data and its applicability to Digital Workplaces and Collaboration  Experience with MS SharePoint and Packaged Intranet solutions  Strong problem solving ability through insightful solutions which address complex issues. Ability to dissect root cause of issues creating the best solution for considering quality, cost, and speed requirements.  Strong understanding of project management principles and Systems Development Life Cycle standards. Agile/Scrum experience, strongly preferred.  Experience in managing application data in accordance with data privacy policies   Job Type: Contract  Experience:   corporate website/intralinks project management: 6 years (Required)   Education:   Bachelor's (Required)   Location:   Woodcliff Lake, NJ (Required)    ]",12-27-2019
Project Manager,Prime Healthcare,"Harlingen, TX","[   JOB SUMMARY: The Project Manager will assist the VP of Revenue Cycle in supervising, managing and directing on-going projects for the organization. Will provide day to day coordination of projects, shall ensure that all aspects of these projects are completed.   EDUCATION, EXPERIENCE, TRAINING   1. Two (2) or more years of applicable work experience required.  2. Bachelor’s degree preferred.  3. Minimum two years’ experience in project management preferred.  4. Knowledge of healthcare industry and hospital revenue cycle/business office preferred.  DUTIES AND RESPONSIBILITIES  1. Direct and manage project development from beginning to end. 2. Define project scope, goals and deliverables that support business goals in collaboration with senior management and stakeholders and also define project success criteria and disseminate them to involved parties throughout the project life cycle. 3. Development and execution of project plans utilizing a project management methodology and project planning tools. 4. Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion. 5. Serve as the liaison with project stakeholders and senior management. 6. Estimate the resources and participants needed to achieve project goals. 7. Set and continually manage project expectations with team members and other stakeholders. 8. Delegate tasks and responsibilities to appropriate personnel. 9. Identify and resolve issues and conflicts within the project team. 10. Identify and manage project dependencies and critical paths. 11. Plan and schedule project timelines and milestones using appropriate tools. 12. Track project milestones and deliverables. 13. Proactively manage changes in project scope, identify potential crises, and devise contingency plans. 14. Coach, mentor, motivate and supervise project team members and contractors, and influence them to take positive action and accountability for their assigned work. 15. Develops and implements master project plans and risk mitigation plans. 16. Continuously improve upon project metrics. 17. Keep projects within or under budget. 18. Performs all other duties as assigned or required  Job Type: Full-time  Experience:   Revenue Cycle: 2 years (Required)  EMR: 2 years (Required)  Managing Revenue Cycle team: 2 years (Required)  Follow up/Denial: 2 years (Required)    ]",12-27-2019
IT Compliance PMO Project Manager (AML/Fraud/KYC related),VetSourceUSA,"New York, NY","[    Job Title:   IT Compliance PMO Project Manager ((AML/Fraud/KYC related))   Location:   New York, NY  Duration: Permanent – Full Time   Annual salary: $115k – benefits package and up to 25% bonus    Overview:    Our new PMO Project Manager will be managing strategic and complex banking technology project in a financial services environment primarily related to Compliance (AML/Fraud/KYC related)  My client provides information technology services in the Western Hemisphere (including the Americas, Europe, Middle East and Africa) that support the Group’s operations.  The group is also engaged in leasing, securities, credit cards, mortgage securitization, venture capital and other credit related businesses and employs over 60,000 people worldwide and has a stated strategic objective of further global expansion.   Responsibilities:    · Ensure buy-in for project objectives from key team members from a matrixed organization.  · Facilitate the definition of the project requirements.  · Ensure our resource management process is followed to secure resource manager approval.  · Facilitate the WBS sessions with JRIA, business departments and the vendor to capture all tasks needed.  · Create and manage the project schedule in Microsoft Project Server and assign tasks to resources and track them to completion.  · Perform problem identification and escalation of key issues and needs.  · Effectively communicate with business users, IT partners and vendors.  · Ensure the JRIA SDLC process is followed to identify, schedule, manage and implement the projects that are being managed.  · Prepare and produce project status, Issue/Risk and RAG reports for senior management.  · Conduct project related status/performance analysis.  · Track project progress against budget, schedule and quality expectations.  · Secure funding approval for the project budget and manage spend on a regular basis.  · Utilize industry best practices for managing the project.  · Mentor other project managers in JRIA for effective project management (15%) - Function as 'Single Point of Contact' for a designated Application /Infrastructure area  · Contribute to PMO and IT Governance methodology and related process improvement efforts (5%)  Key Competencies/Skills:  · Project Management - problem solving, risk/issue management, having analytical abilities (40%)  · Negotiation, Influencing, Conflict Resolution (20%)  · Communication – verbal and written (20%)  · Self-driven, motivated (20%)   Qualifications:    · At least 5 -10 years in a similar role in Financial Services industry, preferably in a bank.  · Minimum 2 years of experience in managing complex IT projects in the financial services sector in Compliance area.  · Experience with Microsoft Project is required; experience with Microsoft Project Server is a plus.  · Knowledge of other Enterprise Project Management software.  · Experience working with technology vendors to implement product solutions (Compliance applications).  · Experience of successful implementation of project management methodology /SDLC processes in an IT organization in financial services industry.  · Knowledge of Actimize products is preferred.  · Experience of managing projects based on Agile Methodology is a plus.  · PMI Certification is preferred.  Job Type: Full-time  Salary: $115,000.00 to $120,000.00 /year  Experience:   Advance MS Project: 5 years (Required)  Managing complex IT projects in the compliance services.: 5 years (Required)  Actimize: 1 year (Preferred)  JRIA: 3 years (Required)  KYC: 2 years (Required)  AML: 2 years (Required)  Enterprise Project Management software: 1 year (Preferred)  Project Server: 1 year (Preferred)   Location:   New York, NY (Preferred)   Work Location:   One location    ]",12-27-2019
Project Manager I,Global Data Consultants LLC,"Greencastle, PA","[     Overview         GDC IT Solutions is currently seeking a  Project Manager I    in the  Greencastle, PA    area.       Position Overview         Manage one or more small projects within a Program to assure that cost, schedules and performance goals are met.       Responsibilities          Develop and execute goals and strategic direction of assigned project(s).   Manage project through entire lifecycle.   Accountable for all schedules, quality, and customer satisfaction on project(s).   Develop and implement corrective action plans when deviations from budgets and/or schedules are evident.   Assign and manage internal, external, multi-divisional, direct and matrixed resources to ensure all project objectives and goals are met.   Develop, prepare and present briefings to both management and customer related to project status, direction, marketing and performance.   Formally identify, assess, monitor and mitigate risk throughout project life cycle.   Assure communication and cooperation among project team members and resolve areas of conflict.   Other duties as assigned.        Minimum Qualifications          Bachelor’s degree in business, finance, operations management or other related field.   2 plus years of relevant experience.   CAPM certification.        Preferred Experience          Familiar with CMMI   Working knowledge of Microsoft Project with at least 1 year of experience.   PMP certification.   Independent judgment and decision making ability.   Strong verbal presentation and written communication skills.   Excellent time management and organizational skills.   Ability to influence others        What We Do         GDC is a full-service IT Staffing and Solutions company specializing in the areas of IT talent placement, application development, multilingual service desk, networking and infrastructure, business intelligence, and project management.    Why Work for GDC?      Cutting Edge Technology and Innovation       Career Growth Opportunities       Employee-Centric Environment       Comprehensive Benefits Package       Holiday and Vacation      Equal Opportunity Workplace:    GDC is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. All qualified applicants will receive consideration for employment.        Visit our     Career Center   for the latest employment opportunities.        ]",12-27-2019
Project Manager,AETNA,"Township of Moon, PA","[    Description:    Accountable for and manages the development, implementation and ongoing maintenance of project(s) with relatively small and/or less complex scope and deliverables. Project scope typically impacts one of the following: process, system, function, and/or product. Length of project may run one year or less in duration. 66752    Fundamental Components:    Provides input on business plan to achieve business goals. Proactively leads assigned project by creating project timeline, identifying key milestones and additional resources needed to successfully complete the work. Assists with the management of internal relationships, processes and performance drives (in some cases relationships may be external). Negotiates to obtain additional resources (may be cross functional/segment). Responsible for the budget and/or financial implications of the project. Identifies issues that may stall project and works with manager to address them. Tracks progress and communicates project status on a regular basis to all impacted parties. Builds communication plan for implementation to ensure all impacted parties (up stream/down stream) are informed of next steps for completion. Acts as an advocate for change may require influencing others to see the value in project. Group facilitation/presentation influencing various internal (these may be cross-functional/segment) may also include external parties. May coach or mentor others by providing work direction. May solicit and evaluate internal and external customer feedback to enhance continuous quality improvement. May identify gaps and recommend enhancements related to new and/or existing products, services and workflows based on broad view of the organization. Develops recommendations based on complex data and root cause analysis. May serve as a Subject Matter Expert.     Background Experience:    Proven track record meeting project dates.3-5 years related work experience. Bachelor's degree or equivalent experience.     Additional Job Information:    Ability to communicate effectively with management.Ability to work collaboratively within work teams.Excellent verbal and written communication skills.Strong organization skills.     Required Skills:    General Business - Communicating for Impact, General Business - Turning Data into Information, Leadership - Collaborating for Results     Technology Experience:    Database - Microsoft Access, Desktop Tool - Microsoft Outlook, Desktop Tool - Microsoft SharePoint, Desktop Tool - TE Microsoft Excel     Potential Telework Position:    No     Percent of Travel Required:    0 - 10%     EEO Statement:    Aetna is an Equal Opportunity, Affirmative Action Employer     Benefit Eligibility:    Benefit eligibility may vary by position. Click here to review the benefits associated with this position.     Candidate Privacy Information:    Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.   ]",12-27-2019
